review,sentiment,,,
Standard Chartered credit card service is good. The customer support is prompt with Standard Chartered credit card service. I use to receive some good offers and cash backs. The online net banking is easy to use with lot of good options. It was an good experience with Standard Chartered credit card service.,1,,,
I hold the JEEVAN anand policy from the LIC around 5 years ago. The customer service is good with the LIC and they give good response to the customers. This policy has the tenure of 20years. I pay the premium every month and I would say I am satisfied having the LIC jeevan anand policy .,1,,,
I got the home loan from the DHFL around a year ago. The service is average with the DHFL and they are not giving proper response to the customers. Every time I have to go visit the bank branch for the loan service and their executives are not up to the mark. The rate of interest and th,0,,,
"I have my salary account with AXIS BANK 2.5 years back. I hold platinum International card and the daily withdrawal limit was 34,000 which is satisfactory . The customer service and responses was up to the mark. Its a 0 balance account.My overall experience was good.",1,,,
My experience was really good with BANK BAZAAR. The customer service and responses was up to the mark.I have sued their Mobile application which is very convenient and satisfactory . I have not faced any issues with bankbazaar till date and it has been pleasant dealing with them.,1,,,
I have my personal loan with ICICI bank. The loan amount was 1 lakh and the interest rate was 10..99% which is satisfactory . I hold aura edge card and the tenure period was 2 years . They did not mention about the insurance amount but later they have detected it .My overall experience was good.,1,,,
"My consumer durable loan was taken with BAJAJ 3 months back. The Loan amount was 19,000 and t 0% interest rate here . I had an amazing experience . It was hassle free and easy. They have approved the loan with in 2 hrs . I am happy with the customer service and responses.",1,,,
I am not happy with the services of YES bank.,0,,,
I am not satisfied with the customer service at the bank.,0,,,
They are ate in replying and bad service and no customer support.,0,,,
I have a credit card with HDFC for a long time. It is not up to the mark.The people do not manage things on time and the returns are low.,0,,,
I do not like the services of the bank. They take too much time to process documents and issued my card late.,0,,,
 have started using the Kotak mahindra bank urbane gold credit card for more than 2 years. The customer support service is bad with the Kotak and they give useless response to the customers. The credit limit value is bad with this card and I am not satisfied with it.,0,,,
I do not get benefits like rewards point and the cash back offers with the help of Citi Rewards credit card and I use this card for more than a year. The customer support service and the response is bad with the Citibank and they give bad response to the customers.,0,,,
"I have a reward credit card from HDFC. The offers and benefits are bad with HDFC. I use to book air ticket through my HDFC reward credit card. The customer support is not prompt with HDFC. In all, I would say that it was a bad experience with HDFC reward credit card department.",0,,,
I am not impressed by Indusind Bank whole process and product offering for credit card. I am not happy ,0,,,
"I have a personal loan with with HDFC. The rate of interest is little high with HDFC. The loan disbursement was late and the online net banking is not easy to use and not user friendly. The documents procedure hasnot  been smooth,it is not a good experience which I had with HDFC personal loan team.",0,,,
"he customer support is bad with Bankbazaar.com. I apply through Bankbazaar.com website which is not easy to use with lot of good options,and the customer service is bad with Bankbazaar.com. I came to know about the service of Bankbazaar.com for a l.It is very difficult to use.",0,,,
Bankbazaar provides bad service.The gave me no suggestions and the offers available.The gave me a list of banks which do not match my criteria.The website with bankbazaar is very bad and not user friendly.They even not provided the vouchers on approval,0,,,
The customer service and response was bad from Citi Bank. I have received the card late. I didn't receive any bills yet so am not sure about the annual charges. I have taken CITI CASHBACK CARD. The credit limit was 75K which am not satisfied,0,,,
As I'm a Citi bank credit card holder I was offered an insta loan based on my credit card usage and I availed it too. The rate of interest they offered is 15%. There was no documentations at all as I got this insta loan based on my credit card. I am not happy with the customer service and overall experience was bad.,0,,,
I have taken a personal loan from Tata capital and the approved loan amount is 5 lakhs. The rate of interest is 12.10%. The monthly EMI comes around11120 for a tenure of 5 years. The customer service and response with the bank is not good.,0,,,
I hold a credit card with HSBC bank with a limit of 1.30 lakhs .I am not satisfied with the limit.I am not sure about the cash back and reward points with the card. There is no annual charge with the card.I have not tried the customer service with the card.,0,,,
"Its not helpful and the way of approach is bad in Bank Bazaar, the website is not very convenient to check all the banking products in one place. I am using this website around six months, first experience with Bank Bazaar went bad for the credit card",0,,,
I did not feel satisfied with the bank services that the bank offered to me.They were late and unresponsive.,0,,,
The manager was rude and did not listen to my query.The card was dispatched late and the credit card limit is not satisfactory.I am not happy with the experience.,0,,,
"I have a Indusbank Aura credit card. I am happy with this credit card as it is life time free. Their rate of interest is also not too high\, their customer service is good\, so overall I would like to rate this credit card as 5 out of 5 and recommend this card to others too.",1,,,
:),1,,,
:(,0,,,
;),1,,,
"Iam So Happy In using HSBC VISA PLATINUM CARD for the past few days Since 2 weeks for3000,cash back for 30,000 spend no annual fee, life time free,movie ticket benefits buy 1 get one offers on each booking ,restaurants discounts on special ,on line partner offer with m",1,,,
"I have been using the credit card of State bank of India for last six months,The limit on the card is 26,000 i am not happy with limit as expected more they have not increased as yet.The card is chargeable of 500 every year.The card type is simply click card.I get good offers and net banking is very si",0,,,
I am not at all happy with the services of the bank.They are not good.,0,,,
The card was delivered on time but I did not get my reward or cashback.,0,,,
The customer service was bad.The loan amount sanctioned was less than I expected.,0,,,
Not happy.,0,,,
:(,0,,,
It was not a good experience. They made me and my wife wait for two hours before sanctioning half the money.I did not like it.,0,,,
Bankbazaar.com. I have used it for the first time and the online portal is easy to access. I would like to say that the customer service is very good one with them till now. Response is really better one for me with the Bankbazaar.com.,1,,,
State Bank of India is overall good on the savings account. There are no hassles to use the online facilities. It is very convenient to bank online. The transactions are smooth. But there are charges for the account features and the transactions are completed.,1,,,
I had applied and got the Personal loan from HDFC BANK. I am very happy by their Rate of interest 9%. I feel very comfortable by their process. They processed and approved my Personal application and sanctioned promised Principle amount with in 48 hours. The process is very quick and convenient.,1,,,
I hold a credit card with a limit of 51000. I am satisfied with the card.The rate of interest is 24% for an year. I have received reward points not the cash back.The annual charge is 500 and no offers with Amazon. The customer service and response is fine.,0,,,
"I directly approached HDFC bank for the credit card because its my salary account, Specialty about HDFC Money back credit card has good reward points for the spends. Mostly they charge more gst, some time I could not download the statement as well.",0,,,
"They are providing good response and upto date credit score report with the banking products like credit card, loans etc. Its an one way to check all the financial products and easy to compare as well. The service is prompt, the executive coordinated very well .",1,,,
I have taken a personal loan from HDFC bank and the approved loan amount is 2.5 lakhs. The rate of interest is 15.10%. The total tenure was for 5 years. The monthly EMI comes around 5961. The customer service ans response with the bank is fine.,1,,,
"They have many cash back offers on leading e commerce site and other stores. So that I have chosen CITI cash back card, I am getting reward points as well based on the transaction. They gave me the credit limit around Rs. 60,000 but my existing credit card has the limit of Rs. 68,000.",0,,,
"Last three years, I am using HDFC credit card, its very helpful and the application is very userfrienldy, I don' t want to visit to the bank. Its a zero balance account, the cash withdrawal limitation is also good, they won't take unnecessary charges on the transaction.",1,,,
I hold a credit card with HSBC bank with a limit of 1.30 lakhs .I am satisfied with the limit.I am not sure about the cash back and reward points with the card. There is no annual charge with the card.I have not tried the customer service with the card.,0,,,
"Its very helpful and the way of approach is good in Bank Bazaar, the website is very convenient to check all the banking products in one place. I am using this website around six months, first experience with Bank Bazaar went well for the credit card.",1,,,
I hold a credit card with HDFC bank with a limit of 1 lakhs and 100 rupees. I have received reward points with the card. I have redeemed the points.I am not sure about the cash back with the card. There is no annual charge with the card.The service is fine.,0,,,
"I have started using CITI credit card but I didn't get the reward points, but the credit limit is good. The accessibility is also good I can use anywhere. CITI bank have not send any mail regarding the cash back, but I didn't get discounts on the transaction.",0,,,
I hold a credit card with ICICI bank with a limit of 65000. The reward points which was provided is very less. I am not sure about the cash back with the card. There is no annual charge with the card. I have not tried the customer care with the card.,0,,,
"This is the first time, I have taken my credit card through bankbazaar.com. I had a very good experience. They have given a proper response and the process was faster. The website was very easy to login and user friendly. I just google and found the bank bazaar website.",1,,,
I had applied my credit card in State Bank of India through online channel. It was a good experience. I have taken YATRA SBI CREDIT CARD. The credit limit was satisfactory. They charge annual fee of 499 rupees. I am getting 1000 rupees offer on the yatra flight bookings. It has free air lounge access.,1,,,
american express offers good discount and rewards on there card also lot of benifits on hotel booking and restuarant . Also there response time is excellent and quick service. i like the customer service and there emi paying option .also they offer good vouchers,1,,,
I applied for a credit card with IndusInd bank and I got an Aura Platinum credit card from them. I mostly use it for shoppings. The credit limit is 2.11 lakhs. There is no annual fees for this credit card. I have been using this credit card for the past 2 years.,1,,,
"I am using paytm from last 5-6 years, the services provided by paytm is very good when compared to all other sources in the market. I use this service for recharge, bill payments and sometimes for booking tickets. I get offers like 5% cash back on bill payments and on IRCTC fo.",1,,,
I have a life insurance policy with LIC from last 6 years and it is a long term policy. The tenure of this life insurance policy is 40 years. I pay my premium once in 6 months through net banking and i am convenient with the payment options which they are giving. I am happy with the coverage and benefit,1,,,
"This was my first time experience with bankbazaar and it was good, they provide very good services when compared to all other sources in the market. I have visited bankbazaar for the first time. Customer service was good and they responded on time. The website of bankbazaar is easy to use and is user f",1,,,
"I hold a credit card with HDFC bank from last 3 years, the credit card services are very good when compared to all other credit cards. There is no annual fee charged for this credit card. I get 10% cash back on Amazon and i use net banking for making payments. I am happy with the credit limit in this c",1,,,
"My credit card application was approved with HSBC bank and the experience was good, the process was quick and i received my credit card within 1 week. The credit limit is more than sufficient in this credit card. There is no annual fee charged for this credit card. I get offers like b",1,,,
I hold a credit with IndusInd Bank with a limit of 1 lakhs. I have received 65 reward points with the card. Not yet received any cash back.The customer service and response is good. Its a good card.The annual charge is 1099+GST.The mobile banking facility is good.,0,,,
"My experience was good with bank bazaar. The telephonic service was fine and they said executive will come for the document collection but nobody turned up. This is the first time, I know this site through internet. I have used the website which was simple to access.",0,,,
I have taken my credit card in American Express through the online channel. I got AMERICAN EXPRESS PLATINUM RESERVE CREDIT CARD. I am happy with their credit limit. They do charge annual fee. The customer service and response was good.,1,,,
I hold a credit with CITI with a limit of 54000. I am satisfied with the limit .I am not sure about the reward points and cash back with the card. There is no annual charge with the card.The customer service and response with is good. Its a good card. The net banking facility is good.,0,,,
"HDFC gives cash back on dinning, movie ticket, I am holding Titanium times card around four years. Now a days I am not using this card, because I could not redeem the points. Therefore I should reach their customer service, but I didn't get any call from their end.",0,,,
They give me good cash back and movie ticket discounts upto 25% at bookmyshow.com on monthly basis. AXIS credit card accessibility is good. I used to get reward points for the transaction and I am holding Axis account hence I could make my credit card payment easily.,1,,,
I hold a credit with CITI with a limit of 52000. I am satisfied with the limit .I have received reward points and cash back with the card.I have got a cash back of 300 rupees.The customer service and response with is good. Its a good card.,1,,,
"I appreciate the quick response of Bank Bazaar, whenever I approach the website, they are providing good response. I started using Bank Bazaar website very recently, the application is good, I could view everything in one page without going to the bank.",1,,,
My experience was not up to the mark with ICICI bank credit card. the process was very long and it took 1 month to receive the credit card. I have a credit limit of Rs 60000 which is less for this credit card. I paid an annual fee of Rs 2500 for this credit card. Customer service was not up to t,0,,,
I hold a credit with SBI with a limit of 25000. I am not satisfied with the limit .I have not received any reward points and cash back with the card.There is an annual charge of 499 applicable with the card. The customer service and response is good. The mobile banking is comfortable.,0,,,
"Some time I am getting only message for the petrol surcharges but I am not get cash back on fuel filling from the bank, CITI bank credit limit is good, but it has an annual free of Rs. 1000. They are providing some reward points for the transaction.",0,,,
I have taken my credit card with the help of bankbazaar.com. The customer service and response was fine. After placing a credit card request they called me immediately. I have used the mobile application which was easy to login and more user friendly.,1,,,
I hold a credit with CITI with a limit of 85000. I am satisfied with the limit .I have not received any reward points and cash back with the card.There is an annual charge of 1000 applicable with the card. The customer service and response i with is good.,0,,,
"I had a good experience with Citi Bank credit card. The customer service and response was good. I have taken CITI CASHBACK CARD through online channel. The credit limit was okay, it would be great if they can increase the limit. They charge annual fee of 500 rupees.",0,,,
I hold a credit with HDFC with a limit of 1.23 lakhs. I am satisfied with the limit . I used to get reward points and cash back with the card. I have redeemed my points.There is no annual charge with the card. The customer service and response i with is good.,1,,,
"I know bankbazaar.com from last 2.5 years, the services provided by bankbazaar is very good when compared to all other sources in the market. It was a good experience so far with bankbazaar. Customer service was good and they responded on time. The mobile application",1,,,
I hold a credit with IndusInd Bank with a good limit. I am satisfied with the limit with my card. I used to get reward points and cash back with the card. There is no annual charge with the card. The customer service and response i with this bank is good.,1,,,
"I hold a credit card with SBI from last 2 years, i find this credit card is very convenient to use. I have to pay an annual fee of Rs 499 which has to be paid every year for this credit card. I get offers like reward points in this credit card and i did not find any transaction issues. I have a credit",1,,,
"I have a credit card with CITI bank from last 1 year, the credit card services are very good when compared to all other credit cards. I paid an annual fee of Rs 1000 for this credit card. I get offers like reward points and cash back in this credit card. I use net banking for making paymen",1,,,
I have my credit card approved with ICICI bank and the experience was not up to the mark. The process was very long and it took 2 months to receive the credit card. An annual fee of Rs 499 has to be paid every year for this credit card. Customer service was not good and there was n,0,,,
I hold a credit with STANDARD CHARTERED BANK with a good limit. I am satisfied with the card. I used to get reward points and cash back with the card. There is no annual charge with the card. The customer service and response i provided by SCB is really good.,1,,,
"I have a home loan in Federal Bank and its running till now. The total duration is 18 years and I have completed 3 years. The rate of interest and charges are normal. The customer service was good and they do respond properly. I am paying monthly around 10,000 rupees as a EMI.",1,,,
I hold a credit with SBI with a good limit. I am satisfied with the card. I used to get reward points and cash back with the card. I have redeemed the points.There is an annual charge of 499 with the card. The customer service and response is good.,1,,,
I had opened my salary account in State Bank of India before 10 years. It is a zero balance account. The customer service and response was average. They are not responding properly and the customer care is not easily approachable. ATM services are better.,0,,,
"I hold a credit with Ratnakar bank with a good limit. I am satisfied with the card. I used to get reward points and cash back with the card. There is an annual charge of 500 , which was an one time fee for the card. The customer service and response is good.",1,,,
"The services are good in bankbazaar.com. This is the first time, I had taken a credit card from bank bazaar. I came to know about the website through internet. I have been using the mobile app for last one year. The features are good and easy to access.",1,,,
The rate of interest was normal in Indusind Bank compared to other banks. I have taken a Platinum card through online channel. They offered me a limit of one lakh rupees. It is a life time free credit card. They provided a doorstep service for the documentation.,1,,,
I hold a credit card with a limit of 51000. I am satisfied with the card.The rate of interest is 24% for an year. I have received reward points not the cash back.The annual charge is 500 and no offers with Amazon. The customer service and response is fine.,1,,,
I hold a credit with CITI with a limit of 85000. I am satisfied with the limit .I have not received any reward points and cash back with the card.There is an annual charge of 1000 applicable with the card. The customer service and response i with is good.,0,,,
I am not at all happy with the services that Axis bank provided me.They are irresponsible.,0,,,
I have taken Two wheeler insurance with Bajaj allianz from last 2 years and it is a good policy to use. This policy has to be renewed every year and i am not aware of the premium amount. I do not have claim experience so far with this insurance and i am satisfied with the coverage of this policy.,1,,,
I have taken a term insurance with HDFC life from last 1.5 years and it is not a good insurance policy. The tenure of this policy is 40 years. I pay my premium on annual basis through net banking and i am not convenient with the payment options which they are giving. I am not happy with the coverage and returns of,0,,,
HDFC bank provides best banking services when compared to all other banks. I am a customer of this bank from last 2-3 years and i hold a savings account with this bank. Customer service is good and they responded well to the queries. I use net banking for all the services i re,1,,,
I am banking with Bank of Baroda from last 6 years and i hold a salary account with this bank. The banking services and the facilities are very good when compared to all other nationalized banks. Customer service is fine and their response is good. There are no additional charges on NEFT and IMPS transa,1,,,
"I am using HDFC bank, they are good in term of netbanking and security feature as well, bank used to send OTP for all the transaction. The technology is good, I am holding HDFC account for last one years its convenient to use, I am very much fine with the bank.",1,,,
Bankbazaar provides best services on financial products when compared to all other sources in the market. I know bankbazaar.com from last 1 year and it was a good experience with bankbazaar so far. Customer service was good and they responded on time. The mobile application is user friendly and easy to,1,,,
" have FBB style up card with SBI from last 1.5 years, i did not find this card very useful as i get offers only on big bazaar. An annual fee of Rs 499 has to be paid every year for this credit card. I get reward points which can be converted into purchase. I have a credit limit of Rs 1 lakh which is s",0,,,
